timestamp outflow inflow risedrop level wulong_outflow wulong_inflow wulong_risedrop wulong_level
1595098800 0 37000 4 178.32 0 8810 5 188.17
1595102400 0 36800 4 178.25 0 8790 4 188.13
1595106000 0 36500 4 178.16 0 8910 5 188.32
1595109600 0 35700 4 178.09 0 8890 4 188.29
1595109600 0 36300 4 178.09 0 8890 4 188.29
1595113200 0 35000 4 178 0 8740 4 188.06
1595116800 0 34800 4 177.92 0 8410 4 187.52
1595120400 0 34600 4 177.85 0 8360 4 187.45
1595124000 0 34200 4 177.74 0 8480 5 187.64
1595127600 0 33800 4 177.59 0 8380 4 187.47
1595131200 0 33400 4 177.46 0 7780 4 186.49
1595134800 0 33100 4 177.35 0 7130 4 185.42
1595138400 0 32700 4 177.21 0 6320 4 184.87
1595142000 0 32400 4 177.1 0 6090 4 184.43
1595145600 0 32100 4 177 0 5820 4 183.9
1595149200 0 31700 4 176.87 0 5570 4 183.45
1595152800 0 31000 4 176.72 0 5280 4 182.91
1595152800 0 31300 4 176.72 0 5280 4 182.91
1595156400 0 30600 4 176.61 0 5010 4 182.37
1595160000 0 30200 4 176.48 0 4820 4 182
1595163600 0 29800 4 176.33 0 4660 4 181.64
1595167200 0 29400 4 176.19 0 4540 4 181.37
1595170800 0 29100 4 176.08 0 4440 4 181.15
1595174400 0 28700 4 175.96 0 4440 6 181.15
1595178000 0 28400 4 175.83 0 4430 4 181.13
1595181600 0 28300 4 175.77 0 4410 4 181.09
1595185200 0 28000 4 175.65 0 4740 5 181.83
1595188800 0 27800 4 175.55 0 4910 5 182.17
1595192400 0 27500 4 175.43 0 4900 4 182.16
1595196000 0 27300 4 175.33 0 4940 5 182.24
1595199600 0 27000 4 175.23 0 5070 5 182.49
1595203200 0 26900 4 175.15 0 5180 5 182.71
1595206800 0 26600 4 175.03 0 5200 5 182.74
1595210400 0 26400 4 174.97 0 5050 4 182.45
1595214000 0 26200 4 174.87 0 4630 4 181.57
1595217600 0 26100 4 174.8 0 4220 4 180.67
1595221200 0 25900 4 174.69 0 3880 4 179.93
1595224800 0 25600 4 174.56 0 3660 4 179.31
1595228400 0 25400 4 174.47 0 3550 4 178.99
1595232000 0 25200 4 174.36 0 3510 4 178.9
1595235600 0 25000 4 174.27 0 3520 5 178.93
1595239200 0 24900 4 174.22 0 3580 5 179.07
1595242800 0 24700 4 174.12 0 3640 5 179.25
1595246400 0 24500 4 174.04 0 3820 5 179.76
1595250000 0 24300 4 173.94 0 4020 5 180.25
1595253600 0 24100 4 173.83 0 3980 4 180.15
1595257200 0 24000 4 173.75 0 3880 4 179.92
1595260800 0 23900 4 173.69 0 3830 4 179.77
1595264400 0 23700 4 173.61 0 3910 5 180
1595268000 0 23600 4 173.55 0 4050 5 180.31
1595271600 0 23500 4 173.45 0 4230 5 180.69
