timestamp shashi_outflow shashi_inflow shashi_risedrop shashi_level chenglingji_outflow chenglingji_inflow chenglingji_risedrop chenglingji_level
1595098800 0 37100 5 42.33 0 23100 6 33.93
1595102400 0 37600 5 42.4 0 23000 5 33.96
1595106000 0 37900 5 42.43 0 22900 5 33.97
1595109600 0 38000 5 42.47 0 22800 5 33.99
1595113200 0 38500 5 42.53 0 22800 5 34
1595116800 0 38800 5 42.56 0 22600 5 34.03
1595120400 0 39100 5 42.6 0 22600 5 34.04
1595124000 0 39000 5 42.61 0 19800 4 34.03
1595124000 0 39000 5 42.61 0 22600 4 34.03
1595127600 0 39200 5 42.64 0 19500 5 34.08
1595131200 0 39100 5 42.65 0 19600 4 34.05
1595134800 0 39200 5 42.67 0 19700 4 34.04
1595138400 0 39600 5 42.7 0 19700 6 34.04
1595142000 0 39500 5 42.71 0 19500 5 34.07
1595145600 0 39800 5 42.74 0 19500 5 34.08
1595149200 0 39800 6 42.74 0 19400 5 34.09
1595152800 0 40200 5 42.78 0 19000 5 34.16
1595156400 0 40400 5 42.82 0 19200 4 34.13
1595160000 0 40900 5 42.86 0 19200 6 34.13
1595163600 0 38600 4 42.84 0 19400 4 34.09
1595167200 0 38400 6 42.84 0 19300 5 34.11
1595170800 0 38700 5 42.88 0 19200 5 34.13
1595174400 0 38900 5 42.89 0 18800 5 34.2
1595178000 0 38900 6 42.89 0 19200 4 34.13
1595181600 0 38700 4 42.88 0 18800 5 34.21
1595185200 0 38600 4 42.86 0 18700 5 34.22
1595188800 0 38700 5 42.87 0 19000 4 34.16
1595192400 0 38600 5 42.88 0 18800 5 34.21
1595196000 0 38900 5 42.89 0 18800 4 34.2
1595199600 0 38900 4 42.88 0 18800 5 34.21
1595203200 0 38100 4 42.85 0 18600 5 34.24
1595206800 0 38600 5 42.89 0 18500 5 34.27
1595210400 0 38300 4 42.85 0 18600 4 34.24
1595214000 0 38300 5 42.88 0 18600 6 34.24
1595217600 0 38000 4 42.86 0 18200 5 34.33
1595221200 0 38200 5 42.88 0 18300 4 34.3
1595224800 0 38300 5 42.9 0 18300 5 34.31
1595228400 0 37800 4 42.87 0 18200 5 34.33
1595232000 0 38300 5 42.9 0 18200 4 34.32
1595235600 0 38100 6 42.9 0 18200 5 34.34
1595239200 0 38300 5 42.92 0 18200 4 34.31
1595242800 0 37900 4 42.89 0 18200 5 34.4
1595246400 0 37900 5 42.9 0 18200 4 34.38
1595250000 0 37900 4 42.89 0 18200 6 34.38
1595253600 0 37800 4 42.88 0 18200 4 34.33
1595257200 0 37900 5 42.9 0 18200 5 34.43
1595260800 0 37600 4 42.88 0 18200 4 34.39
1595264400 0 37700 5 42.89 0 18200 5 34.41
1595268000 0 37400 4 42.86 0 18200 6 34.41
1595271600 0 37500 6 42.86 0 18200 4 34.4
1595275200 0 37600 5 42.88 0 18200 5 34.41
1595278800 0 37500 6 42.88 0 18200 6 34.41
1595282400 0 37000 4 42.83 0 18200 6 34.41
1595286000 0 37400 5 42.87 0 18200 6 34.41
1595289600 0 37200 4 42.85 0 18200 6 34.41
1595293200 0 37200 6 42.85 0 18100 5 34.45
1595296800 0 37300 5 42.86 0 20500 5 34.46
1595300400 0 37600 5 42.87 0 20500 4 34.45
1595304000 0 37000 4 42.85 0 20600 5 34.5
1595307600 0 37200 5 42.86 0 20500 4 34.46
1595311200 0 37300 5 42.87 0 20500 4 34.45
1595314800 0 36000 4 42.85 0 20600 5 34.5
1595314800 0 37000 4 42.85 0 20600 5 34.5
1595318400 0 36200 5 42.86 0 20600 4 34.49
1595322000 0 36000 4 42.84 0 20600 5 34.5
1595325600 0 36400 5 42.88 0 20600 5 34.5
1595329200 0 36000 4 42.85 0 20600 4 34.48
1595332800 0 36100 6 42.85 0 20500 4 34.47
1595336400 0 36200 5 42.87 0 20600 5 34.5
1595340000 0 36200 4 42.86 0 20600 6 34.5
1595343600 0 36000 6 42.86 0 20500 4 34.45
1595347200 0 36000 4 42.85 0 20500 5 34.47
1595350800 0 36100 6 42.85 0 20600 5 34.49
1595354400 0 35900 4 42.84 0 20600 4 34.48
1595358000 0 36000 5 42.85 0 20600 5 34.49
1595361600 0 36100 5 42.87 0 20600 6 34.49
1595365200 0 36500 5 42.9 0 20600 6 34.49
1595368800 0 36600 4 42.89 0 20500 4 34.47
1595372400 0 35800 4 42.86 0 20500 6 34.47
1595376000 0 36300 5 42.9 0 20600 5 34.5
1595379600 0 36300 4 42.88 0 20600 4 34.48
1595383200 0 36200 6 42.88 0 20500 4 34.47
1595383200 0 36200 6 42.88 0 21900 4 34.47
1595386800 0 36300 5 42.91 0 22100 5 34.52
1595390400 0 36100 4 42.88 0 22000 4 34.5
1595394000 0 36300 5 42.9 0 22100 5 34.52
1595397600 0 36200 4 42.89 0 21900 4 34.48
1595401200 0 36500 5 42.93 0 22100 5 34.53
1595404800 0 36200 4 42.9 0 22000 4 34.49
1595408400 0 36200 4 42.89 0 21900 4 34.48
1595412000 0 36300 5 42.91 0 22000 5 34.5
1595415600 0 36300 4 42.9 0 22000 6 34.5
1595419200 0 36100 4 42.88 0 22100 5 34.52
1595422800 0 36100 5 42.9 0 21900 4 34.5
