timestamp outflow inflow risedrop level
1595098800 36100 0 5 162.96
1595102400 36100 60500 5 163.09
1595106000 36000 0 5 163.22
1595109600 36000 59000 5 163.35
1595113200 36000 0 5 163.47
1595116800 35900 58000 5 163.59
1595120400 35900 0 5 163.71
1595124000 37900 55000 5 163.77
1595127600 37900 0 5 163.85
1595131200 40000 54000 4 163.81
1595134800 40100 0 5 163.84
1595138400 40100 53000 5 163.88
1595142000 38000 0 5 163.96
1595145600 37900 49000 5 164.05
1595149200 37900 0 5 164.13
1595152800 40000 0 4 164.11
1595156400 40000 0 5 164.14
1595160000 40000 46000 5 164.18
1595163600 37900 0 5 164.29
1595167200 37800 0 5 164.36
1595170800 37800 0 5 164.41
1595174400 39900 0 4 164.39
1595178000 39900 0 5 164.4
1595181600 39900 40000 5 164.44
1595185200 37800 0 5 164.5
1595188800 37700 0 5 164.55
1595192400 37700 0 5 164.58
1595196000 39800 0 4 164.53
1595199600 39900 0 4 164.51
1595203200 39900 38000 4 164.49
1595206800 39900 0 4 164.48
1595210400 39900 0 5 164.51
1595214000 39900 0 4 164.48
1595217600 39900 0 4 164.45
1595221200 39900 0 4 164.43
1595224800 39900 35800 4 164.41
1595228400 39900 0 4 164.39
1595232000 39900 0 4 164.37
1595235600 39900 0 4 164.35
1595239200 39900 0 4 164.32
1595242800 39900 0 4 164.31
1595246400 39900 34000 4 164.29
1595250000 39900 0 4 164.26
1595253600 40000 0 4 164.25
1595257200 40000 0 4 164.21
1595260800 40000 0 4 164.18
1595264400 40000 0 4 164.15
1595268000 40000 32000 4 164.1
1595271600 40000 0 4 164.06
1595275200 40000 0 4 164.02
1595278800 40000 0 4 163.97
1595282400 40100 0 4 163.92
1595286000 40100 0 4 163.88
1595289600 40100 30000 4 163.84
1595289600 40100 30500 4 163.84
1595293200 40100 0 4 163.78
1595296800 40100 0 4 163.73
1595300400 40100 0 4 163.69
1595304000 40100 0 4 163.64
1595307600 40200 0 4 163.59
1595311200 40200 29500 4 163.53
1595314800 40100 0 4 163.47
1595318400 40200 0 4 163.4
1595322000 40200 0 4 163.36
1595325600 40200 0 4 163.33
1595329200 40200 0 4 163.27
1595332800 40300 29000 4 163.22
1595336400 40300 0 4 163.18
1595340000 40300 0 4 163.13
1595343600 42600 0 4 163.01
1595347200 40800 0 5 163.02
1595350800 40800 0 4 162.97
1595354400 40800 28500 4 162.93
1595358000 40800 0 4 162.89
1595361600 40700 0 4 162.83
1595365200 40800 0 4 162.77
1595368800 40800 0 4 162.72
1595372400 40800 0 4 162.68
1595376000 40900 28500 4 162.63
1595379600 40900 0 4 162.58
1595383200 40900 0 4 162.54
1595386800 41000 0 4 162.49
1595390400 40900 0 4 162.43
1595394000 41000 0 4 162.38
1595397600 40900 30000 4 162.32
1595401200 40900 0 4 162.26
1595404800 41000 0 4 162.22
1595408400 41000 0 4 162.17
1595412000 41000 0 4 162.13
1595415600 41000 0 4 162.07
1595419200 41000 31000 4 162.02
1595422800 41100 0 4 161.96
1595426400 43100 0 4 161.86
1595430000 43200 0 4 161.77
1595433600 43200 0 4 161.7
1595437200 42900 0 4 161.59
1595440800 43000 31000 4 161.54
1595444400 43000 0 4 161.45
1595448000 43000 0 4 161.36
1595451600 43000 0 4 161.28
1595455200 43000 0 4 161.2
1595458800 43000 0 4 161.12
1595462400 43100 31000 4 161.04
1595466000 43100 0 4 160.97
1595469600 43200 0 4 160.88
1595473200 43100 0 4 160.78
1595476800 43100 0 4 160.72
1595480400 43000 0 4 160.64
1595484000 43100 31500 4 160.57
1595487600 43100 0 4 160.49
1595491200 43100 0 4 160.43
1595494800 43200 0 4 160.36
1595498400 43200 0 4 160.28
1595502000 43200 0 4 160.22
1595505600 43300 33000 4 160.15
1595509200 45400 0 4 159.99
1595512800 45400 0 4 159.89
1595516400 45500 0 4 159.79
1595520000 45500 0 4 159.71
1595523600 45500 0 4 159.62
1595527200 45600 35500 4 159.53
1595530800 45600 0 4 159.45
1595534400 45600 0 4 159.37
1595538000 45600 0 4 159.29
1595541600 45700 0 4 159.22
1595545200 45700 0 4 159.15
1595548800 45700 39000 4 159.08
1595552400 45800 0 4 159.02
1595556000 45800 0 4 158.95
1595559600 45900 0 4 158.89
1595563200 45900 0 4 158.84
1595566800 45900 0 4 158.78
1595570400 45900 39000 4 158.72
1595574000 41900 0 5 158.77
1595577600 41600 0 5 158.8
1595581200 41700 0 5 158.84
1595584800 41600 0 5 158.86
1595588400 41700 0 5 158.88
1595592000 41700 38000 5 158.89
1595595600 41600 0 5 158.9
1595599200 41700 0 6 158.9
1595602800 41700 0 4 158.89
1595606400 41700 0 4 158.87
1595610000 41600 0 6 158.87
1595613600 41600 36600 4 158.85
1595617200 41700 0 4 158.83
1595620800 41600 0 4 158.8
1595624400 41700 0 4 158.78
1595628000 41600 0 4 158.76
1595631600 41700 0 4 158.73
1595635200 41600 36600 4 158.7
1595638800 41700 0 4 158.66
1595642400 41700 0 4 158.64
1595646000 41700 0 4 158.58
1595649600 41800 0 4 158.56
1595653200 39800 0 5 158.59
1595656800 39700 36600 4 158.58
1595660400 39700 0 5 158.61
1595664000 37700 0 5 158.68
1595667600 37600 0 5 158.69
1595671200 37600 0 5 158.73
1595674800 37600 0 5 158.74
1595678400 37600 36600 5 158.77
1595682000 37600 0 5 158.79
1595685600 37600 0 5 158.82
1595689200 37600 0 6 158.82
1595692800 37600 0 5 158.83
1595696400 37500 0 5 158.84
1595700000 37500 36000 5 158.86
1595703600 37500 0 5 158.88
1595707200 37500 0 5 158.89
1595710800 37500 0 5 158.92
1595718000 37500 0 5 158.98
1595721600 37600 38000 6 158.98
1595725200 37600 0 5 159
1595728800 37500 0 5 159.01
1595732400 37600 0 5 159.1
1595736000 37500 0 5 159.21
1595739600 37400 0 5 159.33
1595743200 37400 50000 5 159.46
1595746800 37300 0 5 159.54
1595750400 37300 52000 5 159.65
1595754000 37200 0 5 159.73
1595757600 37300 53000 5 159.76
1595761200 37400 0 5 159.87
1595764800 37400 54000 5 159.9
1595768400 37400 0 5 159.98
